"DEPCODE","County","State","Facility","Total Deaths","Resident Deaths","Staff Deaths","Deaths UI"
1,"Alachua","Florida","PARK MEADOWS HEALTH AND REHABILITATION CENTER","0","0","0","0"
1,"Alachua","Florida","PARKLANDS CARE CENTER","10","10","0","0"
1,"Alachua","Florida","HARBORCHASE OF GAINESVILLE","0","0","0","0"
1,"Alachua","Florida","PALM GARDEN OF GAINESVILLE","0","0","0","0"
1,"Alachua","Florida","WINDSOR OF GAINESVILLE ASSISTED LIVING & MEMORY CARE THE","0","0","0","0"
1,"Alachua","Florida","TERRACE HEALTH & REHABILITATION CENTER","0","0","0","0"
1,"Alachua","Florida","HUNTER'S CROSSING PLACE-ASSISTED LIVING","0","0","0","0"
1,"Alachua","Florida","OAK HAMMOCK AT THE UNIVERSITY OF FLORIDA INC","0","0","0","0"
1,"Alachua","Florida","OAK HAMMOCK AT THE UNIVERSITY OF FLORIDA","0","0","0","0"
1,"Alachua","Florida","BROOKDALE GAINESVILLE SOUTHWEST","0","0","0","0"
1,"Alachua","Florida","TACACHALE - FACILITY IV","0","0","0","0"
1,"Alachua","Florida","NORTH FLORIDA RETIREMENT VILLAGE","0","0","0","0"
1,"Alachua","Florida","SIGNATURE HEALTHCARE OF GAINESVILLE","0","0","0","0"
2,"Baker","Florida","MACCLENNY NURSING AND REHAB CENTER","2","2","0","0"
2,"Baker","Florida","W FRANK WELLS NURSING HOME","1","1","0","0"
3,"Bay","Florida","ST ANDREWS BAY SKILLED NURSING AND REHABILITATION CENTER","0","0","0","0"
3,"Bay","Florida","EMERALD SHORES HEALTH AND REHABILITATION","0","0","0","0"
3,"Bay","Florida","CLIFFORD CHESTER SIMS STATE VETERANS NURSING HOME","0","0","0","0"
3,"Bay","Florida","GARDEN VIEW ALF","0","0","0","0"
3,"Bay","Florida","PRUITTHEALTH - PANAMA CITY","0","0","0","0"
3,"Bay","Florida","SUPERIOR RESIDENCES OF PANAMA CITY BEACH","0","0","0","0"
3,"Bay","Florida","PANAMA CITY DEVELOPMENTAL CENTER","0","0","0","0"
3,"Bay","Florida","BROOKDALE PANAMA CITY","0","0","0","0"
3,"Bay","Florida","SUMMER'S LANDING LLC","0","0","0","0"
4,"Bradford","Florida","RIVERWOOD HEALTH & REHABILITATION CENTER","0","0","0","0"
4,"Bradford","Florida","WINDSOR HEALTH AND REHABILITATION CENTER","2","2","0","0"
5,"Brevard","Florida","SOLARIS SENIOR LIVING MERRITT ISLAND","0","0","0","0"
5,"Brevard","Florida","GLENBROOKE AT PALM BAY","0","0","0","0"
5,"Brevard","Florida","TITUSVILLE TOWERS ALF","0","0","0","0"
5,"Brevard","Florida","WEST MELBOURNE HEALTH & REHABILITATION CENTER","0","0","0","0"
5,"Brevard","Florida","ISLAND HEALTH AND REHABILITATION CENTER","0","0","0","0"
5,"Brevard","Florida","ELITE GARDEN ROCKLEDGE LLC","0","0","0","0"
5,"Brevard","Florida","VICTORIA LANDING ALF","0","0","0","0"
5,"Brevard","Florida","CHATEAU MADELEINE","0","0","0","0"
5,"Brevard","Florida","HUNTINGTON PLACE","0","0","0","0"
5,"Brevard","Florida","CONSULATE HEALTH CARE OF MELBOURNE","0","0","0","0"
5,"Brevard","Florida","ROYAL OAKS NURSING AND REHAB CENTER","1","1","0","0"
5,"Brevard","Florida","FARRINGTON HOUSE ASSISTED LIVING FACILITY","0","0","0","0"
5,"Brevard","Florida","HIBISCUS COURT","0","0","0","0"
5,"Brevard","Florida","AVANTE AT MELBOURNE INC","0","0","0","0"
5,"Brevard","Florida","INDIAN RIVER CENTER","0","0","0","0"
5,"Brevard","Florida","CRESCENT WOOD","0","0","0","0"
5,"Brevard","Florida","TITUSVILLE REHABILITATION AND NURSING CENTER","0","0","0","0"
