"DEPCODE","County","State","Facility","Total Deaths","Resident Deaths","Staff Deaths","Deaths UI"
1,"Alachua","Florida","OAK HAMMOCK AT THE UNIVERSITY OF FLORIDA INC","0","0","0","0"
1,"Alachua","Florida","BROOKDALE GAINESVILLE SOUTHWEST","0","0","0","0"
1,"Alachua","Florida","SIGNATURE HEALTHCARE OF GAINESVILLE","0","0","0","0"
1,"Alachua","Florida","PALM GARDEN OF GAINESVILLE","0","0","0","0"
1,"Alachua","Florida","OAK HAMMOCK AT THE UNIVERSITY OF FLORIDA","0","0","0","0"
1,"Alachua","Florida","TERRACE HEALTH & REHABILITATION CENTER","0","0","0","0"
1,"Alachua","Florida","TACACHALE - FACILITY IV","0","0","0","0"
1,"Alachua","Florida","NORTH FLORIDA RETIREMENT VILLAGE","0","0","0","0"
1,"Alachua","Florida","WINDSOR OF GAINESVILLE ASSISTED LIVING & MEMORY CARE THE","0","0","0","0"
1,"Alachua","Florida","PARKLANDS CARE CENTER","9","9","0","0"
2,"Baker","Florida","W FRANK WELLS NURSING HOME","1","1","0","0"
2,"Baker","Florida","MACCLENNY NURSING AND REHAB CENTER","2","2","0","0"
3,"Bay","Florida","CLIFFORD CHESTER SIMS STATE VETERANS NURSING HOME","0","0","0","0"
3,"Bay","Florida","BROOKDALE PANAMA CITY","0","0","0","0"
3,"Bay","Florida","PRUITTHEALTH - PANAMA CITY","0","0","0","0"
4,"Bradford","Florida","WINDSOR HEALTH AND REHABILITATION CENTER","2","2","0","0"
4,"Bradford","Florida","RIVERWOOD HEALTH & REHABILITATION CENTER","0","0","0","0"
5,"Brevard","Florida","ISLAND HEALTH AND REHABILITATION CENTER","0","0","0","0"
5,"Brevard","Florida","LIFE CARE CENTER OF PALM BAY","0","0","0","0"
5,"Brevard","Florida","AVANTE AT MELBOURNE INC","0","0","0","0"
5,"Brevard","Florida","ELITE GARDEN ROCKLEDGE LLC","0","0","0","0"
5,"Brevard","Florida","DISCOVERY VILLAGE AT MELBOURNE","0","0","0","0"
5,"Brevard","Florida","HIBISCUS COURT","0","0","0","0"
5,"Brevard","Florida","ATLANTIC SHORES NURSING AND REHAB CENTER","0","0","0","0"
5,"Brevard","Florida","CHATEAU MADELEINE","0","0","0","0"
5,"Brevard","Florida","ZON BEACHSIDE LLC","0","0","0","0"
5,"Brevard","Florida","BROOKSHIRE (THE)","0","0","0","0"
5,"Brevard","Florida","CRESCENT WOOD","0","0","0","0"
5,"Brevard","Florida","GRAND VILLA OF MELBOURNE","0","0","0","0"
5,"Brevard","Florida","VICTORIA LANDING ALF","0","0","0","0"
5,"Brevard","Florida","SONATA VIERA","0","0","0","0"
5,"Brevard","Florida","ADDINGTON PLACE OF TITUSVILLE","0","0","0","0"
5,"Brevard","Florida","WAVE CREST HEALTH AND REHABILITATION CENTER","0","0","0","0"
5,"Brevard","Florida","GREENWOOD PLACE","3","3","0","0"
5,"Brevard","Florida","TITUSVILLE REHABILITATION AND NURSING CENTER","0","0","0","0"
6,"Broward","Florida","GOOD HOPE MANOR","4","4","0","0"
6,"Broward","Florida","NSPIRE HEALTHCARE TAMARAC","1","1","0","0"
6,"Broward","Florida","REGENTS PARK OF SUNRISE","0","0","0","0"
6,"Broward","Florida","THE SHERIDAN AT COOPER CITY","0","0","0","0"
6,"Broward","Florida","EMERALD PARK OF HOLLYWOOD","0","0","0","0"
6,"Broward","Florida","THE HORIZON CLUB","1","1","0","0"
6,"Broward","Florida","PACIFICA SENIOR LIVING FOREST TRACE","1","1","0","0"
6,"Broward","Florida","ACTIVE SENIOR LIVING RESIDENCE","0","0","0","0"
6,"Broward","Florida","LINCOLN MANOR","0","0","0","0"
6,"Broward","Florida","POMPANO HEALTH AND REHABILITATION CENTER","7","7","0","0"
6,"Broward","Florida","SUN COAST RESIDENTIAL CARE, INC.","0","0","0","0"
6,"Broward","Florida","ST JOSEPH RESIDENCE, INC.","0","0","0","0"
6,"Broward","Florida","ATRIA WILLOW WOOD","8","8","0","0"
