"DEPCODE","County","State","Facility","Total Deaths","Resident Deaths","Staff Deaths","Deaths UI"
1,"Alachua","Florida","SIGNATURE HEALTHCARE OF GAINESVILLE","1","1","0","0"
1,"Alachua","Florida","PARKLANDS CARE CENTER","10","10","0","0"
1,"Alachua","Florida","HUNTER'S CROSSING PLACE-ASSISTED LIVING","2","2","0","0"
2,"Baker","Florida","MACCLENNY NURSING AND REHAB CENTER","2","2","0","0"
2,"Baker","Florida","W FRANK WELLS NURSING HOME","1","1","0","0"
3,"Bay","Florida","PANAMA CITY DEVELOPMENTAL CENTER","2","1","0","1"
3,"Bay","Florida","SUPERIOR RESIDENCES OF PANAMA CITY BEACH","1","1","0","0"
3,"Bay","Florida","ST ANDREWS BAY SKILLED NURSING AND REHABILITATION CENTER","10","10","0","0"
3,"Bay","Florida","CLIFFORD CHESTER SIMS STATE VETERANS NURSING HOME","1","1","0","0"
4,"Bradford","Florida","WINDSOR HEALTH AND REHABILITATION CENTER","2","2","0","0"
5,"Brevard","Florida","SOLARIS HEALTHCARE MERRITT ISLAND","4","4","0","0"
5,"Brevard","Florida","CONSULATE HEALTH CARE OF MELBOURNE","14","14","1","0"
5,"Brevard","Florida","BROOKDALE MELBOURNE","5","5","0","0"
5,"Brevard","Florida","PALMS REHABILITATION AND HEALTHCARE CENTER, THE","5","5","0","0"
5,"Brevard","Florida","LIFE CARE CENTER OF MELBOURNE","3","3","0","0"
5,"Brevard","Florida","VIERA HEALTH AND REHABILITATION CENTER","9","9","0","0"
5,"Brevard","Florida","ROYAL OAKS NURSING AND REHAB CENTER","1","1","0","0"
5,"Brevard","Florida","GLENBROOKE AT PALM BAY","2","2","0","0"
5,"Brevard","Florida","BRENNITY AT MELBOURNE (THE)","1","1","0","0"
5,"Brevard","Florida","HUNTINGTON PLACE","2","2","0","0"
5,"Brevard","Florida","WEST MELBOURNE HEALTH & REHABILITATION CENTER","1","1","0","0"
5,"Brevard","Florida","TITUSVILLE REHABILITATION AND NURSING CENTER","4","4","0","0"
5,"Brevard","Florida","ANCHOR CARE AND REHABILITATION CENTER","4","4","0","0"
5,"Brevard","Florida","VIERA DEL MAR HEALTH AND REHABILITATION CENTER","2","2","0","0"
5,"Brevard","Florida","GREENWOOD PLACE","3","3","0","0"
5,"Brevard","Florida","CARRIAGE HOUSE ALF","2","2","0","0"
5,"Brevard","Florida","ROCKLEDGE HEALTH AND REHABILITATION CENTER","27","26","1","0"
5,"Brevard","Florida","BROOKSHIRE (THE)","5","5","0","0"
5,"Brevard","Florida","COURTENAY SPRINGS VILLAGE","7","7","0","0"
5,"Brevard","Florida","MELBOURNE TERRACE REHABILITATION CENTER","11","11","0","0"
5,"Brevard","Florida","J & K ASSISTED LIVING, INC","2","2","0","0"
5,"Brevard","Florida","SONATA VIERA","2","2","0","0"
6,"Broward","Florida","LENOX ON THE LAKE (THE)","2","2","0","0"
6,"Broward","Florida","SAFE HARBOR ASSISTED LIVING RESORT","1","1","0","0"
6,"Broward","Florida","ROYAL PALM RESIDENCE INC","1","1","0","0"
6,"Broward","Florida","BRIGHT HORIZONS OF RAMBLEWOOD, INC.","4","4","0","0"
6,"Broward","Florida","MAJESTIC MEMORY CARE CENTER","5","5","0","0"
6,"Broward","Florida","SUNRISE HEALTH AND REHABILITATION CENTER","7","7","0","0"
6,"Broward","Florida","MARGATE HEALTH AND REHABILITATION CENTER","9","9","0","0"
6,"Broward","Florida","TAMARAC REHABILITATION AND HEALTH CENTER, INC.","12","12","0","0"
6,"Broward","Florida","AVALON PARK RETIREMENT RESIDENCE, INC.","2","2","0","0"
6,"Broward","Florida","THE FORUM AT DEER CREEK","1","1","0","0"
6,"Broward","Florida","ARTIS SENIOR LIVING OF DAVIE LLC","5","5","0","0"
6,"Broward","Florida","SOLARIS HEALTHCARE COCONUT CREEK","6","6","0","0"
6,"Broward","Florida","ATRIA WILLOW WOOD","8","8","0","0"
6,"Broward","Florida","ROYAL LIVING AT SUNRISE, INC.","1","1","0","0"
6,"Broward","Florida","WEST BROWARD REHABILITATION AND HEALTHCARE","4","4","0","0"
6,"Broward","Florida","GLADES WEST REHABILITATION AND NURSING CENTER","3","3","0","0"
6,"Broward","Florida","HILLCREST HEALTH CARE AND REHABILITATION CENTER","23","22","0","1"
6,"Broward","Florida","GOOD HOPE MANOR","4","4","0","0"
6,"Broward","Florida","ANNIE'S RETIREMENT HOME INC","1","1","0","0"
6,"Broward","Florida","PRESIDENTIAL PLACE","8","8","0","0"
6,"Broward","Florida","LIFE CARE CENTER OF INVERRARY","2","2","0","0"
6,"Broward","Florida","THE HORIZON CLUB","2","2","0","0"
6,"Broward","Florida","DEERFIELD BEACH HEALTH AND REHABILITATION CENTER","9","8","0","1"
6,"Broward","Florida","BROWARD NURSING & REHABILITATION CENTER","2","2","0","0"
6,"Broward","Florida","OAKMONTE VILLAGE OF DAVIE","2","2","0","0"
6,"Broward","Florida","NEW HORIZON OF TAMARAC","1","1","0","0"
6,"Broward","Florida","SUNHAVEN VILLA INC.","1","1","0","0"
6,"Broward","Florida","MIDTOWN MANOR","4","4","0","0"
6,"Broward","Florida","NSPIRE HEALTHCARE LAUDERHILL","23","23","0","0"
6,"Broward","Florida","THE INN AT ASTON GARDENS","1","1","0","0"
6,"Broward","Florida","BUCKINGHAM PLACE, LLC","1","1","0","0"
6,"Broward","Florida","GOLFCREST HEALTHCARE CENTER","7","7","0","0"
6,"Broward","Florida","PACIFICA SENIOR LIVING FOREST TRACE","2","2","0","0"
6,"Broward","Florida","JOHN KNOX VILLAGE OF FLORIDA, INC.","1","1","0","0"
6,"Broward","Florida","THE COURT AT PALM AIRE","4","3","0","1"
6,"Broward","Florida","NSPIRE HEALTHCARE PLANTATION","9","9","0","0"
6,"Broward","Florida","THE PRESERVE AT PALM AIRE","1","1","0","0"
6,"Broward","Florida","ALEXANDER ""SANDY"" NININGER STATE VETERANS NURSING HOME","15","15","0","0"
6,"Broward","Florida","SAEJCA'S CASTLE LLC","2","2","0","0"
6,"Broward","Florida","NSPIRE HEALTHCARE TAMARAC","1","1","0","0"
6,"Broward","Florida","HARBORCHASE OF CORAL SPRINGS","2","2","0","0"
6,"Broward","Florida","GOLDEN SWAN ASSISTED LIVING, INC.","3","3","0","0"
6,"Broward","Florida","THE COLONY CLUB ALF","2","2","0","0"
6,"Broward","Florida","THE SHERIDAN AT COOPER CITY","3","3","0","0"
6,"Broward","Florida","EASTSIDE ACTIVE LIVING","1","1","0","0"
6,"Broward","Florida","HARBORCHASE OF TAMARAC","6","6","0","0"
6,"Broward","Florida","PALMS CARE CENTER","9","9","0","0"
6,"Broward","Florida","ST. JOHN'S NURSING CENTER","4","4","0","0"
6,"Broward","Florida","MAGGYS HOME CARE III INC","1","1","0","0"
6,"Broward","Florida","FIVE STAR PREMIER RESIDENCES OF PLANTATION","1","0","1","0"
6,"Broward","Florida","FT LAUDERDALE HEALTH AND REHABILITATION CENTER","4","4","0","0"
6,"Broward","Florida","REGENTS PARK OF SUNRISE","1","1","0","0"
6,"Broward","Florida","LIFESTYLE LIVING #1","1","1","0","0"
6,"Broward","Florida","COURT AT PALM AIRE, THE","8","8","0","0"
6,"Broward","Florida","FLAMINGO ALF","1","1","0","0"
6,"Broward","Florida","FIVE STAR PREMIER RESIDENCES OF HOLLYWOOD","4","4","0","0"
6,"Broward","Florida","COVENANT VILLAGE CARE CENTER","2","2","0","0"
6,"Broward","Florida","MEMORIAL MANOR","4","4","0","0"
6,"Broward","Florida","VILLA RIO VISTA","2","2","0","0"
6,"Broward","Florida","GOD'S VIP SENIOR HAVEN LLC","1","1","0","0"
6,"Broward","Florida","PARK SUMMIT AT CORAL SPRINGS","3","3","0","0"
6,"Broward","Florida","BROOKDALE DEER CREEK","1","1","0","0"
6,"Broward","Florida","SONATA COCONUT CREEK","3","3","0","0"
6,"Broward","Florida","RANMAR GARDENS II INC","1","1","0","0"
6,"Broward","Florida","WILTON MANORS HEALTH & REHABILITATION CENTER","1","1","0","0"
6,"Broward","Florida","PACIFICA SENIOR LIVING SUNRISE","1","1","0","0"
6,"Broward","Florida","MANOR OAKS NURSING & REHABILITATION CENTER","2","2","0","0"
6,"Broward","Florida","GRAND COURT ALF LLC","7","7","0","0"
6,"Broward","Florida","POMPANO HEALTH AND REHABILITATION CENTER","16","16","0","0"
6,"Broward","Florida","ACTIVE SENIOR LIVING RESIDENCE","1","1","0","0"
6,"Broward","Florida","MANOR PINES CONVALESCENT CENTER","24","24","0","0"
